shot_name,ax,ay,az,gx,gy,gz
down,1.52,0.14,8.15,-0.06,-0.11,0.05
down,1.5,-0.14,8.57,-0.16,-0.18,-0.05
down,2.01,-0.71,9.63,-0.06,-0.13,0.0
down,-0.13,0.84,12.33,-0.33,-0.65,0.14
down,1.07,-2.69,4.44,0.14,-0.35,-0.8
down,0.12,0.02,9.16,-0.49,-1.03,0.3
down,-0.13,1.94,12.21,0.89,-0.75,-1.25
down,0.2,-0.53,5.16,-0.34,-0.39,-0.02
down,-1.98,0.02,10.98,-0.39,-0.61,0.3
down,-4.94,0.68,-18.0,-0.33,4.11,0.66
down,-0.25,0.88,11.96,-0.25,-1.63,-0.41
down,1.65,2.04,14.61,2.07,-0.79,-2.02
down,1.01,-0.15,4.04,0.09,-0.75,-0.24
down,-1.07,0.91,10.57,-0.33,-0.19,0.33
down,-0.57,-1.94,-6.5,-1.24,1.39,0.09
down,0.36,0.52,8.51,-0.3,-1.96,-0.89
down,-2.83,1.1,19.61,0.83,3.81,4.37
down,1.13,0.44,5.13,0.25,-1.38,-0.51
down,1.24,2.58,8.81,-0.05,-0.91,-1.16
down,1.63,0.03,6.21,-0.4,-0.99,-0.27
down,-0.13,1.47,5.86,0.85,-1.07,-1.18
down,1.72,-2.42,2.72,0.3,-0.19,-0.13
down,-0.42,0.45,8.96,-0.48,-0.06,0.9
down,-4.39,-1.13,-15.79,1.1,4.01,-1.6
down,1.17,0.35,13.46,-0.38,-0.87,0.81
down,1.29,-3.32,19.61,1.57,0.78,0.77
down,1.28,0.65,5.36,-0.29,-1.28,0.11
down,1.99,2.1,9.98,0.88,-0.96,-1.65
down,-0.04,-2.51,0.78,-0.05,-0.52,-0.43
down,1.17,0.73,15.67,-0.28,-0.52,0.02
down,-1.96,-0.74,-8.01,-0.66,0.95,-0.78
down,1.74,0.83,14.52,-0.24,-1.1,0.23
down,2.92,-6.47,19.61,2.02,1.3,2.36
down,1.95,1.15,8.39,-0.05,-0.03,0.17
down,2.24,1.77,7.94,-0.02,0.04,0.02
down,2.15,1.36,7.96,0.03,-0.03,-0.04
forehand drive,1.27,2.85,7.67,0.01,-0.02,0.01
forehand drive,1.02,3.38,7.8,0.18,-0.2,-0.28
forehand drive,1.32,3.38,7.79,-0.1,0.03,0.13
forehand drive,1.45,3.31,7.7,0.05,0.01,-0.01
forehand drive,1.27,3.7,7.62,-0.04,0.01,0.09
forehand drive,1.42,3.56,7.48,-0.08,0.04,0.12
forehand drive,1.11,3.86,7.6,0.04,0.02,-0.01
forehand drive,1.06,3.47,7.49,0.03,0.02,-0.03
forehand drive,-0.11,0.96,8.41,1.44,-0.04,-1.08
forehand drive,3.61,3.62,14.77,-4.37,-4.37,2.69
forehand drive,4.44,-7.06,3.46,-1.79,-4.37,3.4
forehand drive,-15.62,-5.56,-4.98,2.55,-2.89,1.38
forehand drive,8.6,-1.47,12.73,-0.96,-2.97,2.28
forehand drive,-19.61,-19.61,-9.77,3.93,4.37,-4.37
forehand drive,4.77,-2.91,9.17,-1.06,-4.37,4.37
forehand drive,-19.61,-19.61,-0.47,-3.59,4.37,-4.37
forehand drive,4.09,-4.24,6.14,-0.02,-4.37,4.1
forehand drive,-19.61,-16.77,19.61,-4.37,4.37,-4.37
forehand drive,3.52,-8.29,5.57,1.42,-4.22,3.27
forehand drive,-19.61,-19.61,18.02,-4.37,4.37,-4.37
forehand drive,5.36,-3.28,7.84,0.04,-4.37,4.37
forehand drive,18.03,0.34,19.61,4.37,4.37,-3.19
forehand drive,10.9,8.89,11.88,1.33,4.37,-4.37
forehand drive,19.61,-19.61,15.03,0.38,4.37,-3.63
forehand drive,4.84,10.29,13.04,-4.37,4.37,-4.36
forehand drive,7.48,19.61,18.47,-4.37,-3.96,3.93
forehand drive,-4.66,-7.37,-6.6,2.01,-4.37,3.74
forehand drive,3.53,-2.05,8.38,0.52,-1.92,-0.08
forehand drive,-4.0,-10.54,-5.68,-2.53,-4.15,1.49
forehand drive,6.56,-8.75,7.98,1.12,-0.7,0.85
forehand drive,-19.61,-12.15,-10.31,2.34,-1.49,0.5
forehand drive,8.7,-1.22,10.98,-1.42,-4.15,4.37
forehand drive,-19.61,-19.61,-2.73,-0.98,4.37,-2.38
forehand drive,2.97,-9.07,6.71,-4.0,-4.37,4.37
forehand drive,14.23,15.99,19.61,4.37,4.37,-2.26
forehand drive,-2.72,-8.33,-3.68,2.09,-4.37,2.73
forehand drive,2.21,0.71,12.47,-2.72,-1.16,2.97
forehand drive,-2.94,-6.67,-2.68,0.93,-4.37,2.76
forehand drive,5.4,6.27,14.81,0.37,0.31,1.8
forehand drive,-4.74,-15.39,-6.49,-0.72,-2.5,0.17
forehand drive,9.8,-0.62,11.43,2.75,2.79,0.8
forehand drive,-4.05,-13.18,-6.7,0.11,-0.32,0.11
forehand drive,9.88,-0.85,7.39,0.69,0.04,-4.32
forehand drive,1.9,3.46,7.56,0.29,1.32,-0.75
forehand drive,0.46,4.13,6.82,1.23,-0.21,-2.19
forehand drive,1.04,3.68,7.41,-0.02,0.04,0.04
forehand drive,1.01,3.78,7.61,0.0,0.0,-0.01
forehand drive,1.08,3.77,7.53,0.0,0.0,0.04
forehand drive,0.82,4.12,7.74,0.16,0.03,0.58
forehand drive,1.09,3.6,7.75,-0.15,-0.03,0.22
forehand drive,1.17,3.59,7.64,0.0,-0.01,0.01
forehand drive,1.12,3.63,7.69,-0.02,-0.01,0.04
forehand drive,1.07,3.71,7.59,0.01,0.01,0.01
forehand drive,1.26,3.54,7.63,0.0,0.01,0.06
forehand drive,0.92,3.33,7.52,-0.2,-0.16,-0.88
forehand drive,0.72,3.66,7.61,-0.1,-0.02,-0.07
forehand drive,0.59,3.44,7.79,-0.06,-0.04,-0.05
forehand drive,0.65,3.29,7.76,-0.02,-0.01,0.05
forehand drive,0.68,3.25,7.8,-0.02,-0.02,0.05
forehand drive,0.73,3.32,7.72,-0.02,0.01,0.04
forehand drive,0.82,3.23,7.82,0.0,0.03,0.0
forehand drive,0.78,3.25,7.74,0.0,0.02,0.04
forehand drive,0.76,3.3,7.78,0.0,0.03,0.03
forehand drive,0.75,3.34,7.86,0.01,0.02,0.01
